,url,political
32,https://www.politico.com/news/2023/01/08/bolsonaro-protesters-storm-brazil-congress-00076931,False
35,https://www.politico.com/news/2023/01/09/biden-three-amigos-summit-migration-issues-00076948,False
40,https://www.politico.com/news/2023/01/09/desantis-lawsuit-biden-immigration-florida-00077147,False
68,https://www.politico.com/news/2023/01/19/tim-kaine-democrats-term-00078684,False
75,https://www.politico.com/news/2023/01/18/wes-moore-sworn-in-maryland-governor-00078406,False
77,https://www.politico.com/news/2023/01/19/supreme-court-could-not-identify-who-shared-draft-abortion-opinion-00078602,False
81,https://www.politico.com/news/2023/01/23/no-2-house-democrat-condemns-violence-after-daughter-charged-with-assaulting-cop-00079065,False
15,https://www.vice.com/en/article/n7zgxq/india-anti-christian-hate-extremism-hindu-mobs,False
61,https://www.vice.com/en/article/88q37g/daily-horoscope-december-27-2022,False
75,https://www.vice.com/en/article/k7bvva/china-woman-bank-stole-cosmetic-surgery,False
78,https://www.vice.com/en/article/k7bjv3/nypd-cop-suspended-punching-black-teen-girl,False
84,https://www.vice.com/en/article/88qpmk/palaly-jaffna-military-land-grabs-tamil-sri-lanka,False
5,https://www.aljazeera.com/news/2022/12/26/winter-freeze-strains-pipes-water-infrastructure-in-us-south,False
15,https://www.aljazeera.com/news/2022/12/28/kosovo-shuts-main-border-crossing-with-serbia-amid-protests,False
17,https://www.aljazeera.com/economy/2022/12/28/crypto-exchange-kraken-to-exit-japan-after-horror-year-for-sector,False
20,https://www.aljazeera.com/economy/2023/1/3/apples-market-value-drops-below-2-trillion,False
48,https://www.aljazeera.com/gallery/2022/12/27/photos-climate-crisis-threatens-centuries-old-oases-in-morocco,False
51,https://www.aljazeera.com/news/2023/1/2/strike-paralyses-transport-system-in-the-tunisian-capital,False
85,https://www.aljazeera.com/news/2022/12/29/kosovo-serbia-tensions-mood-on-the-ground-possible-scenarios,False
89,https://www.aljazeera.com/news/2022/12/29/from-drugs-to-funds-volunteers-key-for-russian-army-in-ukraine,False
96,https://www.aljazeera.com/opinions/2022/12/30/it-is-high-time-to-address-anti-roma-racism-in-the-us,False
99,https://www.aljazeera.com/opinions/2023/1/3/can-a-republican-win-the-presidency-in-2024,False
6,https://abcnews.go.com/Politics/wireStory/tagovailoa-dolphins-playoff-hopes-teetering-95854339,False
7,https://abcnews.go.com/US/father-son-kayakers-rescue-pilot-crash-landed-icy/story?id=95855316,False
10,https://abcnews.go.com/Technology/wireStory/video-game-workers-form-microsofts-us-labor-union-96127585,False
